CUT,NOMBRE,escudo,PROVINCIA,REGION,SUPERFICIE,POBLACION,DENSIDAD,IDH,asdf,LATTITUD,LONGITUD
15101,Arica,Escudo de Arica,Arica,Bandera de la Region de Arica y Parinacota Arica y Parinacota,47994,247552,516,0866,Alto,-18°27'18",-70°17'24"
15102,Camarones,Escudo de Camarones,Arica,Bandera de la Region de Arica y Parinacota Arica y Parinacota,3927,1233,031,0791,Alto,-19°1'12",-69°52'12"
15201,Putre,Escudo de Putre,Parinacota,Bandera de la Region de Arica y Parinacota Arica y Parinacota,59025,2515,043,0817,Alto,-18°12'0",-69°34'588"
15202,General Lagos,Escudo de General Lagos,Parinacota,Bandera de la Region de Arica y Parinacota Arica y Parinacota,22444,810,036,0773,Medio,-17°39'108",-69°38'6"
01101,Iquique,Escudo de Iquique,Iquique,Bandera de la Region de Tarapaca Tarapaca,22421,223463,996,0826,Alto,-20°14'384",-70°8'204"
01107,Alto Hospicio,Escudo de Alto Hospicio,Iquique,Bandera de la Region de Tarapaca Tarapaca,5729,129999,2268,0735,Medio,-20°15'252",-70°1'192"
01401,Pozo Almonte,Escudo de Pozo Almonte,Tamarugal,Bandera de la Region de Tarapaca Tarapaca,137658,17395,126,0772,Alto,-20°17'276",-69°41'456"
01402,Camiña,Escudo de Camiña,Tamarugal,Bandera de la Region de Tarapaca Tarapaca,22002,1375,062,0699,Medio,-20°28'588",-69°22'12"
01403,Colchane,Escudo de Colchane,Tamarugal,Bandera de la Region de Tarapaca Tarapaca,40156,1583,039,0683,Medio,-19°17'24",-68°40'30"
01404,Huara,Escudo de Huara,Tamarugal,Bandera de la Region de Tarapaca Tarapaca,104746,3000,029,0746,Medio,-19°48'324",-69°58'192"
01405,Pica,Escudo de Pica,Tamarugal,Bandera de la Region de Tarapaca Tarapaca,89343,5958,066,0823,Alto,-20°28'588",-69°22'408"
02101,Antofagasta,Escudo de Antofagasta,Antofagasta,Bandera de la Region de Antofagasta Antofagasta,307181,425725,138,0854,Alto,-23°39'36",-70°23'42"
02102,Mejillones,Escudo de Mejillones,Antofagasta,Bandera de la Region de Antofagasta Antofagasta,38039,14776,388,0795,Alto,-23°6'36",-70°27'216"
02103,Sierra Gorda,Escudo de Sierra Gorda,Antofagasta,Bandera de la Region de Antofagasta Antofagasta,12886,1746,014,0809,Alto,-22°53'528",-69°19'228"
02104,Taltal,Escudo de Taltal,Antofagasta,Bandera de la Region de Antofagasta Antofagasta,204051,13657,067,0776,Alto,-25°24'36",-70°29'204"
02201,Calama,Escudo de Calama,El Loa,Bandera de la Region de Antofagasta Antofagasta,155969,190336,122,0857,Alto,-22°28'264",-68°55'264"
02202,Ollagüe,Escudo de Ollagüe,El Loa,Bandera de la Region de Antofagasta Antofagasta,2964,287,009,0739,Medio,-21°13'588",-68°16'12"
02203,San Pedro de Atacama,Escudo de San Pedro de Atacama,El Loa,Bandera de la Region de Antofagasta Antofagasta,23439,10434,045,0771,Alto,-22°55'12",-68°12'36"
02301,Tocopilla,Escudo de Tocopilla,Tocopilla,Bandera de la Region de Antofagasta Antofagasta,40388,28079,695,0796,Medio,-22°4'552",-70°11'204"
02302,Maria Elena,Escudo de Maria Elena,Tocopilla,Bandera de la Region de Antofagasta Antofagasta,12197,6814,055,0779,Alto,-22°19'12",-69°40'372"
03101,Copiapo,Escudo de Copiapo,Copiapo,Bandera de la Region de Atacama Atacama,166813,171766,102,0725,Alto,-27°22'30",-70°19'444"
03102,Caldera,Escudo de Caldera,Copiapo,Bandera de la Region de Atacama Atacama,46666,19426,416,0741,Alto,-27°3'576",-70°49'336"
03103,Tierra Amarilla,Escudo de Tierra Amarilla,Copiapo,Bandera de la Region de Atacama Atacama,11191,14312,127,0686,Medio,-27°28'228",-70°16'588"
03201,Chañaral,Escudo de Chañaral,Chañaral,Bandera de la Region de Atacama Atacama,5772,13164,228,0714,Alto,-26°20'456",-70°37'264"
03202,Diego de Almagro,Escudo de Diego de Almagro,Chañaral,Bandera de la Region de Atacama Atacama,18664,14358,077,0789,Alto,-26°23'24",-70°3'72"
03301,Vallenar,Escudo de Vallenar,Huasco,Bandera de la Region de Atacama Atacama,7084,57009,804,0731,Alto,-28°34'372",-70°46'12"
03302,Alto del Carmen,Escudo de Alto del Carmen,Huasco,Bandera de la Region de Atacama Atacama,5939,5729,096,0664,Medio,-28°44'564",-70°29'276"
03303,Freirina,Escudo de Freirina,Huasco,Bandera de la Region de Atacama Atacama,32079,7681,239,0693,Medio,-28°30'216",-71°4'336"
03304,Huasco,Escudo de Huasco,Huasco,Bandera de la Region de Atacama Atacama,16014,11264,703,0695,Medio,-28°27'216",-71°11'96"
04101,La Serena,Escudo de La Serena,Elqui,Bandera de la Region de Coquimbo Coquimbo,18928,249656,1318,0781,Alto,-29°54'252",-71°14'492"
04102,Coquimbo,Escudo de Coquimbo,Elqui,Bandera de la Region de Coquimbo Coquimbo,1429,256735,1796,0731,Alto,-29°58'156",-71°18'252"
04103,Andacollo,Escudo de Andacollo,Elqui,Bandera de la Region de Coquimbo Coquimbo,310,11791,380,0675,Medio,-30°13'48",-71°5'96"
04104,La Higuera,Escudo de La Higuera,Elqui,Bandera de la Region de Coquimbo Coquimbo,41582,4450,107,067,Medio,-29°30'0",-71°16'588"
04105,Paihuano,Escudo de Paihuano,Elqui,Bandera de la Region de Coquimbo Coquimbo,1495,4675,312,0734,Alto,-30°2'168",-70°30'252"
04106,Vicuña,Escudo de Vicuña,Elqui,Bandera de la Region de Coquimbo Coquimbo,7610,29741,390,0716,Alto,-30°1'84",-70°42'54"
04201,Illapel,Escudo de Illapel,Choapa,Bandera de la Region de Coquimbo Coquimbo,2629,32801,124,0667,Medio,-31°38'204",-71°10'444"
04202,Canela,Escudo de Canela,Choapa,Bandera de la Region de Coquimbo Coquimbo,21966,9546,434,0644,Medio,-31°23'456",-71°25'84"
04203,Los Vilos,Escudo de Los Vilos,Choapa,Bandera de la Region de Coquimbo Coquimbo,18238,23374,128,0675,Medio,-31°54'54",-71°30'216"
04204,Salamanca,Escudo de Salamanca,Choapa,Bandera de la Region de Coquimbo Coquimbo,3445,29110,844,0676,Medio,-31°46'48",-70°58'12"
04301,Ovalle,Escudo de Ovalle,Limari,Bandera de la Region de Coquimbo Coquimbo,3835,121269,316,0725,Alto,-30°35'564",-71°11'204"
04302,Combarbala,Escudo de Combarbala,Limari,Bandera de la Region de Coquimbo Coquimbo,22575,13884,614,0661,Medio,-31°10'48",-71°0'144"
04303,Monte Patria,Escudo de Monte Patria,Limari,Bandera de la Region de Coquimbo Coquimbo,43669,32527,744,0653,Medio,-30°46'30",-70°56'348"
04304,Punitaqui,Escudo de Punitaqui,Limari,Bandera de la Region de Coquimbo Coquimbo,1339,12165,908,0653,Medio,-30°49'588",-71°15'36"
04305,Rio Hurtado,Escudo de Rio Hurtado,Limari,Bandera de la Region de Coquimbo Coquimbo,2180,4372,201,0653,Medio,-30°16'228",-70°40'12"
05101,Valparaiso,Escudo de Valparaiso,Valparaiso,Bandera de la Region de Valparaiso Valparaiso,4016,315732,8102,0701,Alto,-33°2'60",-71°36'576"
05102,Casablanca,Escudo de Casablanca,Valparaiso,Bandera de la Region de Valparaiso Valparaiso,953,29170,306,0712,Alto,-33°19'30",-71°24'36"
05103,Concon,Escudo de Concon,Valparaiso,Bandera de la Region de Valparaiso Valparaiso,76,45889,6038,0781,Alto,-32°57'36",-71°28'84"
05104,Juan Fernandez,Escudo de Juan Fernandez,Valparaiso,Bandera de la Region de Valparaiso Valparaiso,1494,1033,693,0744,Alto,-33°37'588",-78°52'12"
05105,Puchuncavi,Escudo de Puchuncavi,Valparaiso,Bandera de la Region de Valparaiso Valparaiso,300,20071,669,0734,Alto,-32°44'528",-71°23'528"
05107,Quintero,Escudo de Quintero,Valparaiso,Bandera de la Region de Valparaiso Valparaiso,148,36135,2441,0733,Alto,-32°50'42",-71°28'12"
05109,Viña del Mar,Escudo de Viña del Mar,Valparaiso,Bandera de la Region de Valparaiso Valparaiso,1216,361371,2962,0766,Alto,-33°1'30",-71°30'54"
05201,Isla de Pascua,Escudo de Isla de Pascua,Isla de Pascua,Bandera de la Region de Valparaiso Valparaiso,1636,8277,504,0715,Alto,-27°7'4372",-109°21'3589"
05301,Los Andes,Escudo de Los Andes,Los Andes,Bandera de la Region de Valparaiso Valparaiso,1248,68093,545,0756,Alto,-32°50'132",-70°35'492"
05302,Calle Larga,Escudo de Calle Larga,Los Andes,Bandera de la Region de Valparaiso Valparaiso,3217,16482,511,0706,Alto,-32°52'59",-70°28'55"
05303,Rinconada,Escudo de Rinconada,Los Andes,Bandera de la Region de Valparaiso Valparaiso,1225,11263,915,0691,Medio,-32°49'5938",-70°41'1828"
05304,San Esteban,Escudo de San Esteban,Los Andes,Bandera de la Region de Valparaiso Valparaiso,681,20643,303,0732,Alto,-32°48'18",-70°34'516"
05401,La Ligua,Escudo de La Ligua,Petorca,Bandera de la Region de Valparaiso Valparaiso,1163,37739,324,0708,Alto,-32°21'1328",-71°16'1963"
05402,Cabildo,Escudo de Cabildo,Petorca,Bandera de la Region de Valparaiso Valparaiso,1455,20663,142,0671,Medio,-32°24'324",-71°4'48"
05403,Papudo,Escudo de Papudo,Petorca,Bandera de la Region de Valparaiso Valparaiso,643,6201,968,0734,Alto,-32°28'12",-71°22'516"
05404,Petorca,Escudo de Petorca,Petorca,Bandera de la Region de Valparaiso Valparaiso,1517,10558,695,0696,Medio,-32°17'24",-70°57'0"
05405,Zapallar,Escudo de Zapallar,Petorca,Bandera de la Region de Valparaiso Valparaiso,288,7994,277,0743,Alto,-32°34'48",-71°26'168"
05501,Quillota,Escudo de Quillota,Quillota,Bandera de la Region de Valparaiso Valparaiso,302,97572,323,0726,Alto,-32°54'54",-71°15'504"
05502,La Calera,Escudo de Calera,Quillota,Bandera de la Region de Valparaiso Valparaiso,605,53591,8785,07,Alto,-32°47'24",-71°12'144"
05503,Hijuelas,Escudo de Hijuelas,Quillota,Bandera de la Region de Valparaiso Valparaiso,267,19099,715,0672,Medio,-32°51'18",-71°5'384"
05504,La Cruz,Escudo de La Cruz,Quillota,Bandera de la Region de Valparaiso Valparaiso,78,25321,3246,0763,Alto,-32°49'264",-71°14'384"
05506,Nogales,Escudo de Nogales,Quillota,Bandera de la Region de Valparaiso Valparaiso,405,23490,58,0689,Medio,-32°44'96",-71°12'288"
05601,San Antonio,Escudo de San Antonio,San Antonio,Bandera de la Region de Valparaiso Valparaiso,405,96761,2389,0697,Medio,-33°35'41",-71°36'269"
05602,Algarrobo,Escudo de Algarrobo,San Antonio,Bandera de la Region de Valparaiso Valparaiso,1760,15174,862,0722,Alto,-33°22'09",-71°40'05"
05603,Cartagena,Escudo de Cartagena,San Antonio,Bandera de la Region de Valparaiso Valparaiso,246,25357,103,0708,Alto,-33°33'138",-71°36'274"
05604,El Quisco,Escudo de El Quisco,San Antonio,Bandera de la Region de Valparaiso Valparaiso,51,17742,3478,0745,Alto,-33°23'29",-71°41'34"
05605,El Tabo,Escudo de El Tabo,San Antonio,Bandera de la Region de Valparaiso Valparaiso,99,14338,1448,0747,Alto,-33°28'48",-71°37'156"
05606,Santo Domingo,Escudo de Santo Domingo,San Antonio,Bandera de la Region de Valparaiso Valparaiso,536,11934,222,0751,Alto,-33°42'288",-71°37'48"
05701,San Felipe,Escudo de San Felipe,San Felipe de Aconcagua,Bandera de la Region de Valparaiso Valparaiso,186,83494,4488,073,Alto,-32°45'0",-70°42'468"
05702,Catemu,Escudo de Catemu,San Felipe de Aconcagua,Bandera de la Region de Valparaiso Valparaiso,3616,15213,42,0669,Medio,-32°46'516",-70°58'84"
05703,Llay-Llay,Escudo de Llay-Llay,San Felipe de Aconcagua,Bandera de la Region de Valparaiso Valparaiso,3491,26533,76,0676,Medio,-32°50'384",-70°57'252"
05704,Panquehue,Escudo de Panquehue,San Felipe de Aconcagua,Bandera de la Region de Valparaiso Valparaiso,1219,7633,625,0696,Medio,-32°47'24",-70°50'132"
05705,Putaendo,Escudo de Putaendo,San Felipe de Aconcagua,Bandera de la Region de Valparaiso Valparaiso,1474,17645,119,0674,Medio,-32°37'408",-70°42'576"
05706,Santa Maria,Escudo de Santa Maria,San Felipe de Aconcagua,Bandera de la Region de Valparaiso Valparaiso,1663,16367,985,0699,Medio,-32°45'12",-70°40'12"
05801,Quilpue,Escudo de Quilpue,Marga Marga,Bandera de la Region de Valparaiso Valparaiso,5369,167085,3111,0752,Alto,-33°2'5107",-71°26'3296"
05802,Limache,Escudo de Limache,Marga Marga,Bandera de la Region de Valparaiso Valparaiso,294,49931,1698,0722,Alto,-33°0'108",-71°15'396"
05803,Olmue,Escudo de Olmue,Marga Marga,Bandera de la Region de Valparaiso Valparaiso,232,19266,83,0701,Alto,-33°0'324",-71°10'12"
05804,Villa Alemana,Escudo de Villa Alemana,Marga Marga,Bandera de la Region de Valparaiso Valparaiso,97,139310,14361,0755,Alto,-33°3'576",-71°19'444"
06101,Rancagua,Escudo de Rancagua,Cachapoal,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,2603,265211,1020,0732,Alto,-34°9'432",-70°44'276"
06102,Codegua,Escudo de Codegua,Cachapoal,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,287,14096,491,0706,Alto,-34°1'588",-70°40'12"
06103,Coinco,Escudo de Coinco,Cachapoal,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,98,7831,799,0678,Medio,-34°16'228",-70°57'108"
06104,Coltauco,Escudo de Coltauco,Cachapoal,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,225,21263,945,0644,Medio,-34°17'492",-71°5'312"
06105,Doñihue,Escudo de Doñihue,Cachapoal,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,78,22700,291,0685,Medio,-34°11'6",-70°53'24"
06106,Graneros,Escudo de Graneros,Cachapoal,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,113,36504,323,0691,Medio,-34°3'468",-70°43'156"
06107,Las Cabras,Escudo de Las Cabras,Cachapoal,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,749,26740,357,0661,Medio,-34°17'6",-71°18'36"
06108,Machali,Escudo de Machali,Cachapoal,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,2597,59913,231,073,Alto,-34°11'6",-70°39'432"
06109,Malloa,Escudo de Malloa,Cachapoal,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,113,14163,1253,0649,Medio,-34°26'42",-70°56'42"
06110,Mostazal,Escudo de Mostazal,Cachapoal,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,524,27462,524,0691,Medio,-33°58'372",-70°42'324"
06111,Olivar,Escudo de Olivar,Cachapoal,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,45,14624,3249,0661,Medio,-34°12'504",-70°49'84"
06112,Peumo,Escudo de Peumo,Cachapoal,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,1531,14952,977,0674,Medio,-34°23'204",-71°10'156"
06113,Pichidegua,Escudo de Pichidegua,Cachapoal,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,320,20743,648,0652,Medio,-34°21'252",-71°17'132"
06114,Quinta de Tilcoco,Escudo de Quinta de Tilcoco,Cachapoal,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,93,13877,1492,0678,Medio,-34°21'252",-70°58'84"
06115,Rengo,Escudo de Rengo,Cachapoal,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,755,63710,843,068,Medio,-34°24'72",-70°51'216"
06116,Requinoa,Escudo de Requinoa,Cachapoal,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,673,30371,451,0668,Medio,-34°16'588",-70°48'216"
06117,San Vicente,Escudo de San Vicente,Cachapoal,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,4978,50617,1016,0694,Medio,-34°4'588",-71°45'0"
06201,Pichilemu,Escudo de Pichilemu,Cardenal Caro,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,7491,17882,238,0677,Medio,-34°24'72",-72°0'324"
06202,La Estrella,Escudo de La Estrella,Cardenal Caro,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,435,3114,715,0696,Medio,-34°12'0",-71°40'12"
06203,Litueche,Escudo de Litueche,Cardenal Caro,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,619,6765,109,0645,Medio,-34°7'84",-71°43'408"
06204,Marchihue,Escudo de Marchihue,Cardenal Caro,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,660,7632,115,067,Medio,-34°23'60",-71°37'588"
06205,Navidad,Escudo de Navidad,Cardenal Caro,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,300,6904,23,0651,Medio,-33°57'0",-71°49'588"
06206,Paredones,Escudo de Paredones,Cardenal Caro,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,562,6349,112,0628,Medio,-34°39'396",-71°53'384"
06301,San Fernando,Escudo de San Fernando,Colchagua,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,2441,78642,322,0725,Alto,-34°35'24",-70°59'132"
06302,Chepica,Escudo de Chepica,Colchagua,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,503,15925,316,0637,Medio,-34°43'588",-71°16'588"
06303,Chimbarongo,Escudo de Chimbarongo,Colchagua,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,498,37696,756,0674,Medio,-34°42'288",-71°2'312"
06304,Lolol,Escudo de Lolol,Colchagua,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,597,7289,122,0628,Medio,-34°43'516",-71°38'96"
06305,Nancagua,Escudo de Nancagua,Colchagua,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,111,19141,1724,0665,Medio,-34°38'564",-71°12'108"
06306,Palmilla,Escudo de Palmilla,Colchagua,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,237,13299,561,0676,Medio,-34°36'144",-71°21'288"
06307,Peralillo,Escudo de Peralillo,Colchagua,Bandera de la Region del Libertador General Bernardo O'Higgins Lib Gral Bernardo O'Higgins,2826,11848,418,0653,Medio,-34°28'588",-71°28'588"
